SPECTRUM - MS,,,
paper spray_metabolome_water_pos.raw,,,
FTMS + p NSI Full ms [50.00-100.00],,,
Scan #: 92-106,,,
RT: 0.59-0.68,,,
AV: 15,,,
Data points: 13997,,,
Mass,Intensity,Rel Abund,Peak
51.36282,6.908616,0.001324819,FALSE
51.362899,0.181002,3.47096E-05,FALSE
51.362978,0,0,FALSE
51.363056,0,0,FALSE
51.363135,0,0,FALSE
51.363214,0,0,FALSE
51.399295,0,0,FALSE
51.399374,0,0,FALSE
51.399453,0,0,FALSE
51.399531,0,0,FALSE
51.39961,6.502548,0.00124695,FALSE
51.399689,8.447463,0.001619914,FALSE
51.399768,8.855832,0.001698224,TRUE
51.399847,7.486275,0.001435593,FALSE
51.399925,4.819922,0.000924284,FALSE
51.400004,0.169275,3.24607E-05,FALSE
51.400083,0,0,FALSE
51.400162,0,0,FALSE
51.400241,0,0,FALSE
51.40032,0,0,FALSE
51.453567,0,0,FALSE
51.453646,0,0,FALSE
51.453725,0,0,FALSE
51.453804,0,0,FALSE
51.453883,5.420379,0.00103943,FALSE
51.453962,9.119048,0.001748699,FALSE
51.454041,10.808166,0.00207261,TRUE
51.454119,9.535383,0.001828537,FALSE
51.454198,6.275861,0.00120348,FALSE
51.454277,0.183783,3.52428E-05,FALSE
51.454356,0,0,FALSE
51.454435,0,0,FALSE
51.454514,0,0,FALSE
51.454593,0,0,FALSE
51.492667,0,0,FALSE
51.492746,0,0,FALSE
51.492826,0,0,FALSE
51.492905,0,0,FALSE
51.492984,10.716862,0.002055102,FALSE
51.493063,15.70148,0.003010969,FALSE
51.493142,16.272716,0.003120511,TRUE
51.493221,12.443946,0.002386293,FALSE
51.4933,7.319602,0.001403632,FALSE
51.493379,0.183091,3.51101E-05,FALSE
51.493458,0,0,FALSE
51.493537,0,0,FALSE
51.493616,0,0,FALSE
51.493695,0,0,FALSE
51.546058,0,0,FALSE
51.546137,0,0,FALSE
51.546217,0,0,FALSE
51.546296,0,0,FALSE
51.546375,11.076131,0.002123996,FALSE
51.546454,15.091731,0.002894041,FALSE
51.546533,15.952439,0.003059093,TRUE
51.546612,13.565228,0.002601314,FALSE
51.546692,9.31262,0.001785819,FALSE
51.546771,0.277478,5.32101E-05,FALSE
51.54685,0,0,FALSE
51.546929,0,0,FALSE
51.547008,0,0,FALSE
51.547087,0,0,FALSE
51.56126,0,0,FALSE
51.561339,0,0,FALSE
51.561419,0,0,FALSE
51.561498,0,0,FALSE
51.561577,8.649501,0.001658657,FALSE
51.561656,15.42409,0.002957775,FALSE
51.561735,17.669023,0.003388271,TRUE
51.561815,14.371673,0.00275596,FALSE
51.561894,8.86803,0.001700563,FALSE
51.561973,0.256035,4.90981E-05,FALSE
51.562052,0,0,FALSE
51.562131,0,0,FALSE
51.562211,0,0,FALSE
51.56229,0,0,FALSE
51.60881,0,0,FALSE
51.608889,0,0,FALSE
51.608968,0,0,FALSE
51.609047,0,0,FALSE
51.609127,7.110234,0.001363482,FALSE
51.609206,12.254417,0.002349948,FALSE
51.609285,14.872263,0.002851955,TRUE
51.609365,13.203887,0.002532022,FALSE
51.609444,8.348179,0.001600875,FALSE
51.609523,0,0,FALSE
51.609603,0,0,FALSE
51.609682,0,0,FALSE
51.609761,0,0,FALSE
51.612299,0,0,FALSE
51.612378,0,0,FALSE
51.612458,0,0,FALSE
51.612537,0,0,FALSE
51.612616,6.076466,0.001165244,FALSE
51.612696,10.025013,0.00192243,FALSE
51.612775,11.922646,0.002286327,TRUE
51.612854,10.567366,0.002026434,FALSE
51.612934,6.936364,0.00133014,FALSE
51.613013,0.209787,4.02295E-05,FALSE
51.613092,0,0,FALSE
51.613172,0,0,FALSE
51.613251,0,0,FALSE
51.61333,0,0,FALSE
51.640704,0,0,FALSE
51.640784,0,0,FALSE
51.640863,0,0,FALSE
51.640943,0,0,FALSE
51.641022,5.593816,0.001072689,FALSE
51.641101,9.751416,0.001869964,FALSE
51.641181,11.537446,0.002212459,TRUE
51.64126,9.705705,0.001861199,FALSE
51.641339,5.481543,0.001051159,FALSE
51.641419,0.167014,3.20272E-05,FALSE
51.641498,0,0,FALSE
51.641578,0,0,FALSE
51.641657,0,0,FALSE
51.641736,0,0,FALSE
51.683515,0,0,FALSE
51.683595,0,0,FALSE
51.683674,0,0,FALSE
51.683754,0,0,FALSE
51.683833,5.919334,0.001135111,FALSE
51.683913,9.143721,0.001753431,FALSE
51.683992,10.275015,0.001970371,TRUE
51.684072,8.737102,0.001675456,FALSE
