SPECTRUM - MS,
ESI_metabolome water_pos (separate channel)_no vol_volt then volt on.raw,
FTMS + p NSI Full ms [50.00-100.00],
Scan #: 118-125,
RT: 1.11-1.17,
AV: 8,
Data points: 6617,
Mass,Intensity
56.850224,11.338032
56.850315,6.199674
56.850407,0.766826
56.850499,0
56.85059,0
56.850682,0
56.850774,0
56.963902,0
56.963994,0
56.964086,0
56.964178,0
56.96427,0.051258
56.964362,42.787275
56.964454,197.148695
56.964546,710.285654
56.964638,1571.964258
56.96473,2523.148545
56.964822,2778.692317
56.964913,1994.34159
56.965005,1087.421617
56.965097,369.359984
56.965189,93.526742
56.965281,18.401995
56.965373,10.802114
56.965465,14.198396
56.965557,4.835214
56.965649,0.614138
56.965741,0
56.965833,0
56.965925,0
56.966017,0
57.03266,0
57.032752,0
57.032844,0
57.032936,0
57.033028,0.138282
57.03312,14.417823
57.033212,81.855579
57.033304,252.321001
57.033397,460.613757
57.033489,616.95781
57.033581,527.505269
57.033673,322.937587
57.033765,129.409581
57.033857,24.879141
57.033949,1.694802
57.034041,0
57.034134,0
57.034226,0
57.034318,0
57.048232,0
57.048325,0
57.048417,0
57.048509,0
57.048601,8.289622
57.048693,11.76497
57.048785,20.287997
57.048878,17.285343
57.04897,11.447764
57.049062,4.704238
57.049154,0.426126
57.049246,0
57.049338,0
57.049431,0
57.049523,0
57.052288,0
57.05238,0
57.052472,0
57.052564,0
57.052657,5.0123
57.052749,10.151106
57.052841,13.228751
57.052933,12.677641
57.053025,9.131627
57.053117,0.935928
57.05321,0
57.053302,0
57.053394,0
57.053486,0
57.05662,0
57.056713,0
57.056805,0
57.056897,0
57.056989,6.039248
57.057081,58.64745
57.057174,139.913559
57.057266,237.810879
57.057358,265.295042
57.05745,201.288149
57.057542,113.173612
57.057634,42.351209
57.057727,7.550805
57.057819,0.536318
57.057911,0
57.058003,0
57.058095,0
57.058188,0
57.066025,0
57.066117,0
57.066209,0
57.066301,0
57.066393,7.003289
57.066486,11.528431
57.066578,13.142732
57.06667,11.104817
57.066762,6.902686
57.066854,1.18244
57.066947,0
57.067039,0
57.067131,0
57.067223,0
57.069068,0
57.06916,0
57.069252,0
57.069344,0
57.069436,6.614709
57.069529,60.076603
57.069621,232.729941
57.069713,589.479026
57.069805,1000.087926
57.069898,1219.234666
57.06999,954.465949
57.070082,555.526174
57.070174,203.475594
57.070266,42.992729
57.070359,3.68934
57.070451,0
57.070543,0
57.070635,0
57.070728,0
57.496013,0
57.496106,0
57.4962,0
57.496293,0
57.496386,2.719241
57.496479,50.550215
57.496573,167.310568
57.496666,312.694503
57.496759,423.93675
57.496853,358.740322
57.496946,215.519683
57.497039,78.726153
57.497132,10.389803
57.497226,0.3874
57.497319,0
57.497412,0
57.497505,0
57.497599,0
57.504687,0
57.50478,0
57.504873,0
57.504967,0
57.50506,6.001275
57.505153,10.031071
57.505246,13.045953
57.50534,13.247719
57.505433,10.462824
57.505526,6.383132
57.50562,0.673768
57.505713,0
57.505806,0
57.505899,0
57.505993,0
57.552099,0
57.552193,0
57.552286,0
57.55238,0
57.552473,8.51818
57.552566,13.671219
57.55266,15.292371
57.552753,13.129341
57.552847,8.861709
57.55294,2.852623
57.553033,0
57.553127,0
57.55322,0
57.553314,0
57.772946,0
57.77304,0
57.773134,0
57.773228,0
57.773322,6.383111
57.773416,10.921572
57.77351,14.044137
57.773604,13.648507
57.773698,9.575938
57.773791,1.084678
57.773885,0
57.773979,0
57.774073,0
57.774167,0
58.006216,0
58.00631,0
58.006405,0
58.006499,0
58.006594,15.033317
58.006688,93.205553
58.006783,237.933973
58.006877,407.281867
58.006971,500.182869
58.007066,403.627033
58.00716,237.092127
58.007255,87.106584
58.007349,15.212417
58.007444,0.688569
58.007538,0
58.007633,0
58.007727,0
58.007822,0
58.051601,0
58.051695,0
58.05179,0
58.051885,0
58.051979,6.794421
58.052074,12.219215
58.052168,15.847075
58.052263,15.893392
58.052358,12.168833
58.052452,6.974569
58.052547,0.961682
58.052642,0
58.052736,0
58.052831,0
58.052925,0
58.064091,0
58.064186,0
58.06428,0
58.064375,0
58.06447,1.60371
58.064564,39.74544
58.064659,92.70501
58.064754,454.752956
58.064848,1616.003606
58.064943,4225.462462
58.065038,7265.454919
58.065132,9331.789676
58.065227,7798.137872
58.065321,4867.782945
58.065416,2021.244795
58.065511,567.637942
58.065605,80.821232
58.0657,15.368695
58.065795,8.413239
58.065889,0.953699
58.065984,0
58.066079,0
58.066173,0
58.066268,0
58.072704,0
58.072799,0
58.072894,0
58.072988,0
58.073083,5.990373
58.073178,11.697386
58.073272,14.405296
58.073367,12.286934
58.073462,7.37909
58.073556,0.88887
58.073651,0
58.073745,0
58.07384,0
58.073935,0
58.130111,0
58.130205,0
58.1303,0
58.130395,0
58.13049,6.369639
58.130585,11.139698
58.130679,12.854856
58.130774,11.02099
58.130869,7.392539
58.130964,0.913169
58.131059,0
58.131153,0
58.131248,0
58.131343,0
58.4598,0
58.459895,0
58.459991,0
58.460086,0
58.460182,6.908398
58.460278,11.0713
58.460373,18.312871
58.460469,20.200402
58.460564,13.462965
58.46066,7.824594
58.460756,0.947168
58.460851,0
58.460947,0
58.461042,0
58.461138,0
58.991925,0
58.992022,0
58.992119,0
58.992216,0
58.992313,7.857623
58.99241,12.60376
58.992507,13.906457
58.992604,11.340574
58.9927,6.526141
58.992797,0.780474
58.992894,0
58.992991,0
58.993088,0
58.993185,0
58.994251,0
58.994348,0
